t  1  2  3  jxH0100
5.11  -1.28298  -2.8  -2.8  -1.28298
5.12  -1.19676  -2.6  -2.6  -1.19676
5.13  -1.10972  -2.4  -2.4  -1.10972
5.14  -1.02187  -2.2  -2.2  -1.02187
5.15  -0.933197  -2  -2  -0.933197
5.16  -0.843697  -1.8  -1.8  -0.843697
5.17  -0.753363  -1.6  -1.6  -0.753363
5.18  -0.662191  -1.4  -1.4  -0.662191
5.19  -0.570174  -1.2  -1.2  -0.570174
5.2  -0.477306  -1  -1  -0.477306
5.21  -0.383582  -0.8  -0.8  -0.383582
5.22  -0.288996  -0.6  -0.6  -0.288996
5.23  -0.0184326  -0.4  -0.4  -0.0184326
5.24  -0.00924846  -0.2  -0.2  -0.00924846
5.25  -6.26697e-14  -1.35003e-12  -1.35003e-12  -6.26697e-14
5.26  0.00931316  0.2  0.2  0.00931316
5.27  0.0186914  0.4  0.4  0.0186914
5.28  0.296977  0.6  0.6  0.296977
5.29  0.397771  0.8  0.8  0.397771
5.3  1.05883  1  1  1.05883
5.31  1.30427  1.2  1.2  1.30427
5.32  1.52165  1.4  1.4  1.52165
5.33  1.73903  1.6  1.6  1.73903
5.34  1.95641  1.8  1.8  1.95641
5.35  2.17378  2  2  2.17378
5.36  2.39116  2.2  2.2  2.39116
5.37  2.60854  2.4  2.4  2.60854
5.38  2.82592  2.6  2.6  2.82592
5.39  3.0433  2.8  2.8  3.0433
5.4  3.26068  3  3  3.26068
5.41  3.47805  3.2  3.2  3.47805
5.42  3.69543  3.4  3.4  3.69543
5.43  3.91281  3.6  3.6  3.91281
5.44  4.13019  3.8  3.8  4.13019
5.45  4.34757  4  4  4.34757
5.46  4.56495  4.2  4.2  4.56495
5.47  4.78233  4.4  4.4  4.78233
5.48  4.9997  4.6  4.6  4.9997
5.49  5.21708  4.8  4.8  5.21708
5.5  5.43446  5  5  5.43446
5.51  5.21708  4.8  4.8  5.21708
5.52  4.9997  4.6  4.6  4.9997
5.53  4.78233  4.4  4.4  4.78233
5.54  4.56495  4.2  4.2  4.56495
5.55  4.34757  4  4  4.34757
5.56  4.13019  3.8  3.8  4.13019
5.57  3.91281  3.6  3.6  3.91281
5.58  3.69543  3.4  3.4  3.69543
5.59  3.47805  3.2  3.2  3.47805
5.6  3.26068  3  3  3.26068
5.61  3.0433  2.8  2.8  3.0433
5.62  2.82592  2.6  2.6  2.82592
5.63  2.60854  2.4  2.4  2.60854
5.64  2.39116  2.2  2.2  2.39116
5.65  2.17378  2  2  2.17378
5.66  1.95641  1.8  1.8  1.95641
5.67  1.73903  1.6  1.6  1.73903
5.68  1.52165  1.4  1.4  1.52165
5.69  1.30427  1.2  1.2  1.30427
5.7  1.08689  1  1  1.08689
5.71  0.869514  0.8  0.8  0.869514
5.72  0.313947  0.6  0.6  0.313947
5.73  0.0187788  0.4  0.4  0.0187788
5.74  0.00935663  0.2  0.2  0.00935663
5.75  7.29381e-14  1.56319e-12  1.56319e-12  7.29381e-14
5.76  -0.00929153  -0.2  -0.2  -0.00929153
5.77  -0.0185184  -0.4  -0.4  -0.0185184
5.78  -0.289124  -0.6  -0.6  -0.289124
5.79  -0.383752  -0.8  -0.8  -0.383752
5.8  -0.477518  -1  -1  -0.477518
5.81  -0.570427  -1.2  -1.2  -0.570427
5.82  -0.662484  -1.4  -1.4  -0.662484
5.83  -0.753697  -1.6  -1.6  -0.753697
5.84  -0.84407  -1.8  -1.8  -0.84407
5.85  -0.93361  -2  -2  -0.93361
5.86  -1.02232  -2.2  -2.2  -1.02232
5.87  -1.11021  -2.4  -2.4  -1.11021
5.88  -1.19729  -2.6  -2.6  -1.19729
